Time,Time,Resistance tube,Resistance surface,Temperature tube,Temperature surface
82,17:01:33,2149.64,10583.5,64.10767003093746,23.712709599573714
83,17:01:34,2092.2,10583.5,64.87856837974005,23.712709599573714
84,17:01:35,2035.29,10542.17,65.66760423017098,23.80121294320846
85,17:01:36,2007.04,10583.5,66.06903931763078,23.712709599573714
86,17:01:37,1950.94,10583.5,66.88624926115742,23.712709599573714
87,17:01:38,1909.2,10583.5,67.51219517762263,23.712709599573714
88,17:01:39,1881.53,10583.5,67.93586822809533,23.712709599573714
89,17:01:40,1840.28,10583.5,68.58077835531525,23.712709599573714
90,17:01:41,1799.31,10583.5,69.23753401191803,23.712709599573714
91,17:01:42,1772.15,10583.5,69.68207537828042,23.712709599573714
92,17:01:43,1731.65,10542.17,70.35891792318542,23.80121294320846
93,17:01:44,1704.8,10583.5,70.81726546576276,23.712709599573714
94,17:01:45,1678.08,10583.5,71.2814770104217,23.712709599573714
95,17:01:46,1638.23,10583.5,71.98964812131145,23.712709599573714
96,17:01:47,1611.8,10583.5,72.4703709974439,23.712709599573714
97,17:01:48,1598.64,10542.17,72.71315989395318,23.80121294320846
98,17:01:49,1559.32,10583.5,73.45272208570009,23.712709599573714
99,17:01:50,1533.26,10583.5,73.9550299127071,23.712709599573714
100,17:01:51,1494.38,10583.5,74.72337255913342,23.712709599573714
101,17:01:52,1481.48,10583.5,74.98349100817957,23.712709599573714
102,17:01:53,1455.77,10583.5,75.50989565246213,23.712709599573714
103,17:01:54,1430.17,10583.5,76.0449066400372,23.712709599573714
104,17:01:55,1404.68,10542.17,76.58873497912121,23.80121294320846
105,17:01:56,1379.31,10583.5,77.14136312992822,23.712709599573714
106,17:01:57,1354.05,10583.5,77.70319612162632,23.712709599573714
107,17:01:58,1328.9,10583.5,78.27441959194852,23.712709599573714
108,17:01:59,1303.87,10542.17,78.8549766428057,23.80121294320846
109,17:02:00,1291.39,10542.17,79.14904074895429,23.80121294320846
110,17:02:01,1278.94,10542.17,79.44550052302155,23.80121294320846
111,17:02:02,1254.13,10542.17,80.04567880028365,23.80121294320846
112,17:02:03,1241.76,10583.5,80.34970295394287,23.712709599573714
113,17:02:04,1229.42,10542.17,80.6563060529475,23.80121294320846
114,17:02:05,1217.11,10583.5,80.96559746388319,23.712709599573714
115,17:02:06,1192.56,10583.5,81.59319058580039,23.712709599573714
116,17:02:07,1180.33,10542.17,81.91145239137228,23.80121294320846
117,17:02:08,1155.94,10583.5,82.5579541738144,23.712709599573714
118,17:02:09,1143.79,10583.5,82.8861348998728,23.712709599573714
119,17:02:10,1131.66,10542.17,83.2180074507818,23.80121294320846
120,17:02:11,1119.56,10583.5,83.55339887158736,23.712709599573714
121,17:02:12,1107.49,10583.5,83.89240279847598,23.712709599573714
122,17:02:13,1083.42,10583.5,84.58219472840325,23.712709599573714
123,17:02:14,1083.42,10583.5,84.58219472840325,23.712709599573714
124,17:02:15,1059.46,10583.5,85.28784678945561,23.712709599573714
125,17:02:16,1047.52,10542.17,85.64688202992227,23.80121294320846
126,17:02:17,1047.52,10583.5,85.64688202992227,23.712709599573714
127,17:02:18,1023.71,10583.5,86.37812140439063,23.712709599573714
128,17:02:19,1023.71,10583.5,86.37812140439063,23.712709599573714
129,17:02:20,1011.84,10583.5,86.75050544965056,23.712709599573714
130,17:02:21,988.19,10583.5,87.50859152533732,23.712709599573714
131,17:02:22,976.39,10583.5,87.895106279006,23.712709599573714
132,17:02:23,964.63,10583.5,88.28594592087352,23.712709599573714
133,17:02:24,952.89,10583.5,88.68184782719099,23.712709599573714
134,17:02:25,952.89,10583.5,88.68184782719099,23.712709599573714
135,17:02:26,941.18,10583.5,89.08255315325441,23.712709599573714
136,17:02:27,917.82,10583.5,89.89971512990181,23.712709599573714
137,17:02:28,906.18,10583.5,90.31598396339395,23.712709599573714
138,17:02:29,906.18,10583.5,90.31598396339395,23.712709599573714
139,17:02:30,894.57,10583.5,90.73741739602427,23.712709599573714
140,17:02:31,871.41,10583.5,91.59753152150058,23.712709599573714
141,17:02:32,859.87,10583.5,92.03616855348746,23.712709599573714
142,17:02:33,859.87,10625.0,92.03616855348746,23.624231971562114
143,17:02:34,859.87,10583.5,92.03616855348746,23.712709599573714
144,17:02:35,836.86,10625.0,92.93176931654963,23.624231971562114
145,17:02:36,836.86,10625.0,92.93176931654963,23.624231971562114
146,17:02:37,813.95,10625.0,93.85257392878503,23.624231971562114
147,17:02:38,813.95,10625.0,93.85257392878503,23.624231971562114
148,17:02:39,802.53,10625.0,94.32290451921342,23.624231971562114
149,17:02:40,791.14,10625.0,94.79977114734403,23.624231971562114
150,17:02:41,779.77,10666.67,95.28373497461665,23.53578071741066
151,17:02:42,768.42,10625.0,95.77494670303491,23.624231971562114
152,17:02:43,768.42,10625.0,95.77494670303491,23.624231971562114
153,17:02:44,745.8,10666.67,96.77880429616971,23.53578071741066
154,17:02:45,745.8,10666.67,96.77880429616971,23.53578071741066
155,17:02:46,745.8,10666.67,96.77880429616971,23.53578071741066
156,17:02:47,734.52,10666.67,97.29217007599313,23.53578071741066
157,17:02:48,723.27,10666.67,97.812884321009,23.53578071741066
158,17:02:49,723.27,10666.67,97.812884321009,23.53578071741066
159,17:02:50,712.04,10666.67,98.34153841061615,23.53578071741066
160,17:02:51,712.04,10666.67,98.34153841061615,23.53578071741066
161,17:02:52,712.04,10666.67,98.34153841061615,23.53578071741066
